Drug1,Drug1_ID,Drug2,Drug2_ID,Interaction
lipitor,N/A,fortovase,N/A,0
lipitor,N/A,invirase,N/A,0
lipitor,N/A,kaletra,N/A,0
lipitor,N/A,norvir,N/A,0
lipitor,N/A,viracept,N/A,0
lipitor,N/A,morphine,DB00295,0
lipitor,N/A,astramorph,N/A,0
lipitor,N/A,kadian,N/A,0
lipitor,N/A,ms contin,N/A,0
lipitor,N/A,phenylbutazone,DB00812,0
lipitor,N/A,prednisolone,DB00860,0
lipitor,N/A,prelone,N/A,0
lipitor,N/A,rifadin,N/A,0
lipitor,N/A,rifampin,N/A,0
lipitor,N/A,temazepam,DB00231,0
lipitor,N/A,theophylline,DB00277,0
lipitor,N/A,theo-dur,N/A,0
lipitor,N/A,vitamin c,N/A,0
clofibrate,DB00636,atromid-s,N/A,0
clofibrate,DB00636,cyclosporine,DB00091,0
clofibrate,DB00636,neoral,N/A,0
clofibrate,DB00636,sandimmune,N/A,0
clofibrate,DB00636,protease inhibitors,N/A,0
clofibrate,DB00636,agenerase,N/A,0
clofibrate,DB00636,crixivan,N/A,0
clofibrate,DB00636,fortovase,N/A,0
clofibrate,DB00636,invirase,N/A,0
clofibrate,DB00636,kaletra,N/A,0
clofibrate,DB00636,norvir,N/A,0
clofibrate,DB00636,viracept,N/A,0
clofibrate,DB00636,morphine,DB00295,0
clofibrate,DB00636,astramorph,N/A,0
clofibrate,DB00636,kadian,N/A,0
clofibrate,DB00636,ms contin,N/A,0
clofibrate,DB00636,phenylbutazone,DB00812,0
clofibrate,DB00636,prednisolone,DB00860,0
clofibrate,DB00636,prelone,N/A,0
clofibrate,DB00636,rifadin,N/A,0
clofibrate,DB00636,rifampin,N/A,0
clofibrate,DB00636,temazepam,DB00231,0
clofibrate,DB00636,theo-dur,N/A,0
clofibrate,DB00636,vitamin c,N/A,0
atromid-s,N/A,cyclosporine,DB00091,0
atromid-s,N/A,neoral,N/A,0
atromid-s,N/A,sandimmune,N/A,0
atromid-s,N/A,protease inhibitors,N/A,0
atromid-s,N/A,agenerase,N/A,0
atromid-s,N/A,crixivan,N/A,0
atromid-s,N/A,fortovase,N/A,0
atromid-s,N/A,invirase,N/A,0
atromid-s,N/A,kaletra,N/A,0
atromid-s,N/A,norvir,N/A,0
atromid-s,N/A,viracept,N/A,0
atromid-s,N/A,morphine,DB00295,0
atromid-s,N/A,astramorph,N/A,0
atromid-s,N/A,kadian,N/A,0
atromid-s,N/A,ms contin,N/A,0
atromid-s,N/A,phenylbutazone,DB00812,0
atromid-s,N/A,prednisolone,DB00860,0
atromid-s,N/A,prelone,N/A,0
atromid-s,N/A,rifadin,N/A,0
atromid-s,N/A,rifampin,N/A,0
atromid-s,N/A,temazepam,DB00231,0
atromid-s,N/A,theophylline,DB00277,0
atromid-s,N/A,theo-dur,N/A,0
atromid-s,N/A,vitamin c,N/A,0
cyclosporine,DB00091,neoral,N/A,0
cyclosporine,DB00091,sandimmune,N/A,0
cyclosporine,DB00091,protease inhibitors,N/A,0
cyclosporine,DB00091,agenerase,N/A,0
cyclosporine,DB00091,crixivan,N/A,0
cyclosporine,DB00091,fortovase,N/A,0
cyclosporine,DB00091,invirase,N/A,0
cyclosporine,DB00091,kaletra,N/A,0
cyclosporine,DB00091,norvir,N/A,0
cyclosporine,DB00091,viracept,N/A,0
cyclosporine,DB00091,morphine,DB00295,0
cyclosporine,DB00091,astramorph,N/A,0
cyclosporine,DB00091,kadian,N/A,0
cyclosporine,DB00091,ms contin,N/A,0
cyclosporine,DB00091,phenylbutazone,DB00812,0
cyclosporine,DB00091,prednisolone,DB00860,0
cyclosporine,DB00091,prelone,N/A,0
cyclosporine,DB00091,rifadin,N/A,0
cyclosporine,DB00091,rifampin,N/A,0
cyclosporine,DB00091,temazepam,DB00231,0
cyclosporine,DB00091,theophylline,DB00277,0
cyclosporine,DB00091,theo-dur,N/A,0
cyclosporine,DB00091,vitamin c,N/A,0
neoral,N/A,sandimmune,N/A,0
neoral,N/A,protease inhibitors,N/A,0
neoral,N/A,agenerase,N/A,0
neoral,N/A,crixivan,N/A,0
neoral,N/A,fortovase,N/A,0
neoral,N/A,invirase,N/A,0
neoral,N/A,kaletra,N/A,0
neoral,N/A,norvir,N/A,0
neoral,N/A,viracept,N/A,0
neoral,N/A,morphine,DB00295,0
neoral,N/A,astramorph,N/A,0
neoral,N/A,kadian,N/A,0
neoral,N/A,ms contin,N/A,0
neoral,N/A,phenylbutazone,DB00812,0
neoral,N/A,prednisolone,DB00860,0
neoral,N/A,prelone,N/A,0
neoral,N/A,rifadin,N/A,0
neoral,N/A,rifampin,N/A,0
neoral,N/A,temazepam,DB00231,0
neoral,N/A,theophylline,DB00277,0
neoral,N/A,theo-dur,N/A,0
neoral,N/A,vitamin c,N/A,0
sandimmune,N/A,protease inhibitors,N/A,0
sandimmune,N/A,agenerase,N/A,0
sandimmune,N/A,crixivan,N/A,0
sandimmune,N/A,fortovase,N/A,0
sandimmune,N/A,invirase,N/A,0
sandimmune,N/A,kaletra,N/A,0
sandimmune,N/A,norvir,N/A,0
sandimmune,N/A,viracept,N/A,0
sandimmune,N/A,morphine,DB00295,0
sandimmune,N/A,astramorph,N/A,0
sandimmune,N/A,kadian,N/A,0
sandimmune,N/A,ms contin,N/A,0
sandimmune,N/A,phenylbutazone,DB00812,0
sandimmune,N/A,prednisolone,DB00860,0
sandimmune,N/A,prelone,N/A,0
sandimmune,N/A,rifadin,N/A,0
sandimmune,N/A,rifampin,N/A,0
sandimmune,N/A,temazepam,DB00231,0
sandimmune,N/A,theophylline,DB00277,0
sandimmune,N/A,theo-dur,N/A,0
sandimmune,N/A,vitamin c,N/A,0
protease inhibitors,N/A,agenerase,N/A,0
protease inhibitors,N/A,crixivan,N/A,0
protease inhibitors,N/A,fortovase,N/A,0
protease inhibitors,N/A,invirase,N/A,0
protease inhibitors,N/A,kaletra,N/A,0
protease inhibitors,N/A,norvir,N/A,0
protease inhibitors,N/A,viracept,N/A,0
protease inhibitors,N/A,morphine,DB00295,0
protease inhibitors,N/A,astramorph,N/A,0
protease inhibitors,N/A,kadian,N/A,0
protease inhibitors,N/A,ms contin,N/A,0
protease inhibitors,N/A,phenylbutazone,DB00812,0
protease inhibitors,N/A,prednisolone,DB00860,0
protease inhibitors,N/A,prelone,N/A,0
protease inhibitors,N/A,rifadin,N/A,0
protease inhibitors,N/A,rifampin,N/A,0
protease inhibitors,N/A,temazepam,DB00231,0
protease inhibitors,N/A,theophylline,DB00277,0
protease inhibitors,N/A,theo-dur,N/A,0
protease inhibitors,N/A,vitamin c,N/A,0
agenerase,N/A,crixivan,N/A,0
agenerase,N/A,fortovase,N/A,0
agenerase,N/A,invirase,N/A,0
agenerase,N/A,kaletra,N/A,0
agenerase,N/A,norvir,N/A,0
agenerase,N/A,viracept,N/A,0
agenerase,N/A,morphine,DB00295,0
agenerase,N/A,astramorph,N/A,0
agenerase,N/A,kadian,N/A,0
agenerase,N/A,ms contin,N/A,0
agenerase,N/A,phenylbutazone,DB00812,0
agenerase,N/A,prednisolone,DB00860,0
agenerase,N/A,prelone,N/A,0
agenerase,N/A,rifadin,N/A,0
agenerase,N/A,rifampin,N/A,0
agenerase,N/A,temazepam,DB00231,0
agenerase,N/A,theophylline,DB00277,0
agenerase,N/A,theo-dur,N/A,0
agenerase,N/A,vitamin c,N/A,0
crixivan,N/A,fortovase,N/A,0
crixivan,N/A,invirase,N/A,0
crixivan,N/A,kaletra,N/A,0
crixivan,N/A,norvir,N/A,0
crixivan,N/A,viracept,N/A,0
crixivan,N/A,morphine,DB00295,0
crixivan,N/A,astramorph,N/A,0
crixivan,N/A,kadian,N/A,0
crixivan,N/A,ms contin,N/A,0
crixivan,N/A,phenylbutazone,DB00812,0
crixivan,N/A,prednisolone,DB00860,0
crixivan,N/A,prelone,N/A,0
crixivan,N/A,rifadin,N/A,0
crixivan,N/A,rifampin,N/A,0
crixivan,N/A,temazepam,DB00231,0
crixivan,N/A,theophylline,DB00277,0
crixivan,N/A,theo-dur,N/A,0
crixivan,N/A,vitamin c,N/A,0
fortovase,N/A,invirase,N/A,0
fortovase,N/A,kaletra,N/A,0
fortovase,N/A,norvir,N/A,0
fortovase,N/A,viracept,N/A,0
fortovase,N/A,morphine,DB00295,0
fortovase,N/A,astramorph,N/A,0
fortovase,N/A,kadian,N/A,0
fortovase,N/A,ms contin,N/A,0
fortovase,N/A,phenylbutazone,DB00812,0
fortovase,N/A,prednisolone,DB00860,0
fortovase,N/A,prelone,N/A,0
fortovase,N/A,rifadin,N/A,0
fortovase,N/A,rifampin,N/A,0
fortovase,N/A,temazepam,DB00231,0
fortovase,N/A,theophylline,DB00277,0
fortovase,N/A,theo-dur,N/A,0
fortovase,N/A,vitamin c,N/A,0
invirase,N/A,kaletra,N/A,0
invirase,N/A,norvir,N/A,0
invirase,N/A,viracept,N/A,0
invirase,N/A,morphine,DB00295,0
invirase,N/A,astramorph,N/A,0
invirase,N/A,kadian,N/A,0
invirase,N/A,ms contin,N/A,0
invirase,N/A,phenylbutazone,DB00812,0
invirase,N/A,prednisolone,DB00860,0
invirase,N/A,prelone,N/A,0
invirase,N/A,rifadin,N/A,0
invirase,N/A,rifampin,N/A,0
invirase,N/A,temazepam,DB00231,0
invirase,N/A,theophylline,DB00277,0
invirase,N/A,theo-dur,N/A,0
invirase,N/A,vitamin c,N/A,0
kaletra,N/A,norvir,N/A,0
kaletra,N/A,viracept,N/A,0
kaletra,N/A,morphine,DB00295,0
kaletra,N/A,astramorph,N/A,0
kaletra,N/A,kadian,N/A,0
kaletra,N/A,ms contin,N/A,0
kaletra,N/A,phenylbutazone,DB00812,0
kaletra,N/A,prednisolone,DB00860,0
kaletra,N/A,prelone,N/A,0
kaletra,N/A,rifadin,N/A,0
kaletra,N/A,rifampin,N/A,0
kaletra,N/A,temazepam,DB00231,0
kaletra,N/A,theophylline,DB00277,0
kaletra,N/A,theo-dur,N/A,0
kaletra,N/A,vitamin c,N/A,0
norvir,N/A,viracept,N/A,0
norvir,N/A,morphine,DB00295,0
norvir,N/A,astramorph,N/A,0
norvir,N/A,kadian,N/A,0
norvir,N/A,ms contin,N/A,0
norvir,N/A,phenylbutazone,DB00812,0
norvir,N/A,prednisolone,DB00860,0
norvir,N/A,prelone,N/A,0
norvir,N/A,rifadin,N/A,0
norvir,N/A,rifampin,N/A,0
norvir,N/A,temazepam,DB00231,0
norvir,N/A,theophylline,DB00277,0
norvir,N/A,theo-dur,N/A,0
norvir,N/A,vitamin c,N/A,0
viracept,N/A,morphine,DB00295,0
viracept,N/A,astramorph,N/A,0
viracept,N/A,kadian,N/A,0
viracept,N/A,ms contin,N/A,0
viracept,N/A,phenylbutazone,DB00812,0
viracept,N/A,prednisolone,DB00860,0
viracept,N/A,prelone,N/A,0
viracept,N/A,rifadin,N/A,0
viracept,N/A,rifampin,N/A,0
viracept,N/A,temazepam,DB00231,0
viracept,N/A,theophylline,DB00277,0
viracept,N/A,theo-dur,N/A,0
viracept,N/A,vitamin c,N/A,0
morphine,DB00295,astramorph,N/A,0
morphine,DB00295,kadian,N/A,0
morphine,DB00295,ms contin,N/A,0
morphine,DB00295,phenylbutazone,DB00812,0
morphine,DB00295,prednisolone,DB00860,0
morphine,DB00295,prelone,N/A,0
morphine,DB00295,rifadin,N/A,0
morphine,DB00295,rifampin,N/A,0
morphine,DB00295,temazepam,DB00231,0
morphine,DB00295,theophylline,DB00277,0
morphine,DB00295,theo-dur,N/A,0
morphine,DB00295,vitamin c,N/A,0
astramorph,N/A,kadian,N/A,0
astramorph,N/A,ms contin,N/A,0
astramorph,N/A,phenylbutazone,DB00812,0
astramorph,N/A,prednisolone,DB00860,0
astramorph,N/A,prelone,N/A,0
astramorph,N/A,rifadin,N/A,0
astramorph,N/A,rifampin,N/A,0
astramorph,N/A,temazepam,DB00231,0
astramorph,N/A,theophylline,DB00277,0
astramorph,N/A,theo-dur,N/A,0
astramorph,N/A,vitamin c,N/A,0
kadian,N/A,ms contin,N/A,0
kadian,N/A,phenylbutazone,DB00812,0
kadian,N/A,prednisolone,DB00860,0
kadian,N/A,prelone,N/A,0
kadian,N/A,rifadin,N/A,0
kadian,N/A,rifampin,N/A,0
kadian,N/A,temazepam,DB00231,0
kadian,N/A,theophylline,DB00277,0
kadian,N/A,theo-dur,N/A,0
kadian,N/A,vitamin c,N/A,0
ms contin,N/A,phenylbutazone,DB00812,0
ms contin,N/A,prednisolone,DB00860,0
ms contin,N/A,prelone,N/A,0
ms contin,N/A,rifadin,N/A,0
ms contin,N/A,rifampin,N/A,0
ms contin,N/A,temazepam,DB00231,0
ms contin,N/A,theophylline,DB00277,0
ms contin,N/A,theo-dur,N/A,0
ms contin,N/A,vitamin c,N/A,0
phenylbutazone,DB00812,prednisolone,DB00860,0
phenylbutazone,DB00812,prelone,N/A,0
phenylbutazone,DB00812,rifadin,N/A,0
phenylbutazone,DB00812,rifampin,N/A,0
phenylbutazone,DB00812,temazepam,DB00231,0
phenylbutazone,DB00812,theophylline,DB00277,0
phenylbutazone,DB00812,theo-dur,N/A,0
phenylbutazone,DB00812,vitamin c,N/A,0
prednisolone,DB00860,prelone,N/A,0
prednisolone,DB00860,rifadin,N/A,0
prednisolone,DB00860,rifampin,N/A,0
prednisolone,DB00860,temazepam,DB00231,0
prednisolone,DB00860,theophylline,DB00277,0
prednisolone,DB00860,theo-dur,N/A,0
prednisolone,DB00860,vitamin c,N/A,0
prelone,N/A,rifadin,N/A,0
prelone,N/A,rifampin,N/A,0
prelone,N/A,temazepam,DB00231,0
prelone,N/A,theophylline,DB00277,0
prelone,N/A,theo-dur,N/A,0
prelone,N/A,vitamin c,N/A,0
rifadin,N/A,rifampin,N/A,0
rifadin,N/A,temazepam,DB00231,0
rifadin,N/A,theophylline,DB00277,0
rifadin,N/A,theo-dur,N/A,0
rifadin,N/A,vitamin c,N/A,0
rifampin,N/A,temazepam,DB00231,0
rifampin,N/A,theophylline,DB00277,0
rifampin,N/A,theo-dur,N/A,0
rifampin,N/A,vitamin c,N/A,0
temazepam,DB00231,theophylline,DB00277,0
temazepam,DB00231,theo-dur,N/A,0
temazepam,DB00231,vitamin c,N/A,0
theophylline,DB00277,theo-dur,N/A,0
theophylline,DB00277,vitamin c,N/A,0
theo-dur,N/A,vitamin c,N/A,0
aspirin,N/A,warfarin,DB00682,0
aspirin,N/A,heparin,DB01109,0
warfarin,DB00682,heparin,DB01109,0
heparin,DB01109,nsaids,N/A,0
vitamin k antagonists,N/A,phenytoin,DB00252,0
vitamin k antagonists,N/A,theophylline,DB00277,0
phenytoin,DB00252,theophylline,DB00277,1
vitamin k antagonists,N/A,nilutamide,DB00665,1
vitamin k antagonists,N/A,vitamin k antagonists,N/A,0
nilutamide,DB00665,vitamin k antagonists,N/A,0
clonazepam,DB01068,clonazepam,DB01068,0
clonazepam,DB01068,phenytoin,DB00252,0
clonazepam,DB01068,carbamazepine,DB00564,0
clonazepam,DB01068,phenobarbital,DB01174,0
clonazepam,DB01068,ranitidine,DB00863,0
clonazepam,DB01068,clonazepam,DB01068,0
ranitidine,DB00863,clonazepam,DB01068,0
clonazepam,DB01068,propantheline,DB00782,1
clonazepam,DB01068,anticholinergic agent,N/A,0
clonazepam,DB01068,clonazepam,DB01068,0
propantheline,DB00782,anticholinergic agent,N/A,0
propantheline,DB00782,clonazepam,DB01068,0
propantheline,DB00782,propantheline,DB00782,0
anticholinergic agent,N/A,clonazepam,DB01068,0
anticholinergic agent,N/A,propantheline,DB00782,0
fluoxetine,DB00472,clonazepam,DB01068,0
phenytoin,DB00252,clonazepam,DB01068,0
carbamazepine,DB00564,clonazepam,DB01068,0
phenobarbital,DB01174,clonazepam,DB01068,0
clonazepam,DB01068,antifungal agents,N/A,0
antifungal agents,N/A,clonazepam,DB01068,1
benzodiazepine class,N/A,alcohol,N/A,1
benzodiazepine class,N/A,narcotics,N/A,1
benzodiazepine class,N/A,barbiturates,N/A,1
benzodiazepine class,N/A,nonbarbiturate hypnotics,N/A,1
benzodiazepine class,N/A,antianxiety agents,N/A,1
benzodiazepine class,N/A,phenothiazines classes of antipsychotic agents,N/A,1
benzodiazepine class,N/A,thioxanthene classes of antipsychotic agents,N/A,1
benzodiazepine class,N/A,butyrophenone classes of antipsychotic agents,N/A,1
benzodiazepine class,N/A,monoamine oxidase inhibitors,N/A,1
benzodiazepine class,N/A,tricyclic antidepressants,N/A,1
benzodiazepine class,N/A,anticonvulsant drugs,N/A,1
alcohol,N/A,narcotics,N/A,0
alcohol,N/A,nonbarbiturate hypnotics,N/A,0
alcohol,N/A,antianxiety agents,N/A,0
alcohol,N/A,phenothiazines classes of antipsychotic agents,N/A,0
alcohol,N/A,thioxanthene classes of antipsychotic agents,N/A,0
alcohol,N/A,butyrophenone classes of antipsychotic agents,N/A,0
alcohol,N/A,monoamine oxidase inhibitors,N/A,0
alcohol,N/A,tricyclic antidepressants,N/A,0
alcohol,N/A,anticonvulsant drugs,N/A,0
narcotics,N/A,barbiturates,N/A,0
narcotics,N/A,nonbarbiturate hypnotics,N/A,0
narcotics,N/A,antianxiety agents,N/A,0
narcotics,N/A,phenothiazines classes of antipsychotic agents,N/A,0
narcotics,N/A,thioxanthene classes of antipsychotic agents,N/A,0
narcotics,N/A,butyrophenone classes of antipsychotic agents,N/A,0
narcotics,N/A,monoamine oxidase inhibitors,N/A,0
narcotics,N/A,tricyclic antidepressants,N/A,0
narcotics,N/A,anticonvulsant drugs,N/A,0
barbiturates,N/A,nonbarbiturate hypnotics,N/A,0
barbiturates,N/A,antianxiety agents,N/A,0
barbiturates,N/A,phenothiazines classes of antipsychotic agents,N/A,0
barbiturates,N/A,thioxanthene classes of antipsychotic agents,N/A,0
barbiturates,N/A,butyrophenone classes of antipsychotic agents,N/A,0
barbiturates,N/A,monoamine oxidase inhibitors,N/A,0
barbiturates,N/A,tricyclic antidepressants,N/A,0
barbiturates,N/A,anticonvulsant drugs,N/A,0
nonbarbiturate hypnotics,N/A,antianxiety agents,N/A,0
nonbarbiturate hypnotics,N/A,phenothiazines classes of antipsychotic agents,N/A,0
nonbarbiturate hypnotics,N/A,thioxanthene classes of antipsychotic agents,N/A,0
nonbarbiturate hypnotics,N/A,butyrophenone classes of antipsychotic agents,N/A,0
nonbarbiturate hypnotics,N/A,monoamine oxidase inhibitors,N/A,0
nonbarbiturate hypnotics,N/A,tricyclic antidepressants,N/A,0
nonbarbiturate hypnotics,N/A,anticonvulsant drugs,N/A,0
antianxiety agents,N/A,phenothiazines classes of antipsychotic agents,N/A,0
antianxiety agents,N/A,thioxanthene classes of antipsychotic agents,N/A,0
antianxiety agents,N/A,butyrophenone classes of antipsychotic agents,N/A,0
antianxiety agents,N/A,monoamine oxidase inhibitors,N/A,0
antianxiety agents,N/A,tricyclic antidepressants,N/A,0
antianxiety agents,N/A,anticonvulsant drugs,N/A,0
phenothiazines classes of antipsychotic agents,N/A,thioxanthene classes of antipsychotic agents,N/A,0
phenothiazines classes of antipsychotic agents,N/A,butyrophenone classes of antipsychotic agents,N/A,0
phenothiazines classes of antipsychotic agents,N/A,monoamine oxidase inhibitors,N/A,0
phenothiazines classes of antipsychotic agents,N/A,tricyclic antidepressants,N/A,0
phenothiazines classes of antipsychotic agents,N/A,anticonvulsant drugs,N/A,0
thioxanthene classes of antipsychotic agents,N/A,butyrophenone classes of antipsychotic agents,N/A,0
thioxanthene classes of antipsychotic agents,N/A,monoamine oxidase inhibitors,N/A,0
thioxanthene classes of antipsychotic agents,N/A,tricyclic antidepressants,N/A,0
thioxanthene classes of antipsychotic agents,N/A,anticonvulsant drugs,N/A,0
butyrophenone classes of antipsychotic agents,N/A,monoamine oxidase inhibitors,N/A,0
butyrophenone classes of antipsychotic agents,N/A,tricyclic antidepressants,N/A,0
butyrophenone classes of antipsychotic agents,N/A,anticonvulsant drugs,N/A,0
monoamine oxidase inhibitors,N/A,anticonvulsant drugs,N/A,0
tricyclic antidepressants,N/A,anticonvulsant drugs,N/A,0
human growth hormone,N/A,l-glutamine,DB00130,0
human growth hormone,N/A,human growth hormone,N/A,0
l-glutamine,DB00130,human growth hormone,N/A,1
indomethacin,DB00328,l-glutamine,DB00130,0
indomethacin,DB00328,indomethacin,DB00328,0
l-glutamine,DB00130,indomethacin,DB00328,0
methotrexate,DB00563,l-glutamine,DB00130,0
methotrexate,DB00563,l-glutamine,DB00130,1
paclitaxel,DB01229,l-glutamine,DB00130,0
paclitaxel,DB01229,paclitaxel,DB01229,0
l-glutamine,DB00130,paclitaxel,DB01229,0
paclitaxel,DB01229,paclitaxel,DB01229,0
fenfluramine,DB00574,antihypertensive drugs,N/A,1
fenfluramine,DB00574,guanethidine,DB01170,1
fenfluramine,DB00574,methyldopa,DB00968,1
fenfluramine,DB00574,reserpine,DB00206,1
antihypertensive drugs,N/A,guanethidine,DB01170,0
antihypertensive drugs,N/A,methyldopa,DB00968,0
antihypertensive drugs,N/A,reserpine,DB00206,0
guanethidine,DB01170,methyldopa,DB00968,0
methyldopa,DB00968,reserpine,DB00206,0
cns depressant drugs,N/A,fenfluramine,DB00574,1
clarithromycin,DB01211,didanosine,DB00900,0
clarithromycin,DB01211,fluconazole,DB00196,0
clarithromycin,DB01211,fluoxetine,DB00472,0
clarithromycin,DB01211,ketoconazole,DB01026,0
clarithromycin,DB01211,phenytoin,DB00252,0
clarithromycin,DB01211,carbamazepine,DB00564,0
clarithromycin,DB01211,rifabutin,DB00615,0
clarithromycin,DB01211,rifampin,N/A,0
clarithromycin,DB01211,saquinavir,DB01232,0
didanosine,DB00900,fluconazole,DB00196,0
didanosine,DB00900,fluoxetine,DB00472,0
didanosine,DB00900,ketoconazole,DB01026,0
didanosine,DB00900,phenytoin,DB00252,0
didanosine,DB00900,carbamazepine,DB00564,0
didanosine,DB00900,rifabutin,DB00615,0
didanosine,DB00900,rifampin,N/A,0
didanosine,DB00900,saquinavir,DB01232,0
fluconazole,DB00196,fluoxetine,DB00472,0
fluconazole,DB00196,ketoconazole,DB01026,0
fluconazole,DB00196,phenytoin,DB00252,0
fluconazole,DB00196,carbamazepine,DB00564,0
fluconazole,DB00196,rifabutin,DB00615,0
fluconazole,DB00196,rifampin,N/A,0
fluconazole,DB00196,saquinavir,DB01232,0
fluoxetine,DB00472,ketoconazole,DB01026,0
fluoxetine,DB00472,phenytoin,DB00252,0
fluoxetine,DB00472,carbamazepine,DB00564,0
fluoxetine,DB00472,rifabutin,DB00615,0
fluoxetine,DB00472,rifampin,N/A,0
fluoxetine,DB00472,saquinavir,DB01232,0
ketoconazole,DB01026,phenytoin,DB00252,0
ketoconazole,DB01026,carbamazepine,DB00564,0
ketoconazole,DB01026,rifabutin,DB00615,0
ketoconazole,DB01026,rifampin,N/A,0
ketoconazole,DB01026,saquinavir,DB01232,0
phenytoin,DB00252,rifabutin,DB00615,0
phenytoin,DB00252,rifampin,N/A,0
phenytoin,DB00252,saquinavir,DB01232,0
carbamazepine,DB00564,rifabutin,DB00615,0
carbamazepine,DB00564,rifampin,N/A,0
carbamazepine,DB00564,saquinavir,DB01232,0
rifabutin,DB00615,rifampin,N/A,0
rifabutin,DB00615,saquinavir,DB01232,0
rifampin,N/A,saquinavir,DB01232,0
barbiturates,N/A,phenylbutazone,DB00812,0
barbiturates,N/A,topiramate,DB00273,0
phenylbutazone,DB00812,phenytoin sodium,N/A,0
phenylbutazone,DB00812,carbamazepine,DB00564,0
phenylbutazone,DB00812,griseofulvin,DB00400,0
phenylbutazone,DB00812,topiramate,DB00273,0
phenylbutazone,DB00812,ampicillin,DB00415,0
phenylbutazone,DB00812,tetracyclines,N/A,0
phenytoin sodium,N/A,topiramate,DB00273,0
carbamazepine,DB00564,topiramate,DB00273,0
griseofulvin,DB00400,topiramate,DB00273,0
topiramate,DB00273,ampicillin,DB00415,0
topiramate,DB00273,tetracyclines,N/A,0
hormonal contraceptives,N/A,contraceptive,N/A,0
erythromycin,DB00199,ketoconazole,DB01026,0
erythromycin,DB00199,fexofenadine,DB00950,0
ketoconazole,DB01026,fexofenadine,DB00950,0
fexofenadine hydrochloride,N/A,ketoconazole,DB01026,0
fexofenadine hydrochloride,N/A,erythromycin,DB00199,0
fexofenadine hydrochloride,N/A,fexofenadine,DB00950,0
ketoconazole,DB01026,fexofenadine,DB00950,1
erythromycin,DB00199,fexofenadine,DB00950,1
fexofenadine,DB00950,erythromycin,DB00199,0
fexofenadine,DB00950,ketoconazole,DB01026,0
fexofenadine,DB00950,fexofenadine hydrochloride,N/A,0
fexofenadine,DB00950,ketoconazole,DB01026,0
fexofenadine,DB00950,fexofenadine,DB00950,0
fexofenadine,DB00950,erythromycin,DB00199,0
antacids,N/A,fexofenadine hydrochloride,N/A,0
antacids,N/A,maalox,N/A,0
antacids,N/A,fexofenadine,DB00950,0
fexofenadine hydrochloride,N/A,aluminum,N/A,1
fexofenadine hydrochloride,N/A,magnesium,DB14513,1
fexofenadine hydrochloride,N/A,antacid,N/A,1
fexofenadine hydrochloride,N/A,maalox,N/A,1
aluminum,N/A,antacid,N/A,0
aluminum,N/A,maalox,N/A,0
aluminum,N/A,fexofenadine,DB00950,0
magnesium,DB14513,antacid,N/A,0
magnesium,DB14513,maalox,N/A,0
magnesium,DB14513,fexofenadine,DB00950,0
antacid,N/A,maalox,N/A,0
antacid,N/A,fexofenadine,DB00950,0
maalox,N/A,fexofenadine,DB00950,0
allegra,N/A,aluminum,N/A,1
allegra,N/A,magnesium,DB14513,1
allegra,N/A,antacids,N/A,0
fexofenadine,DB00950,allegra,N/A,0
narcotic analgesic,N/A,phenothiazines,N/A,0
narcotic analgesic,N/A,tricyclic antidepressants,N/A,0
narcotic analgesic,N/A,dilaudid,N/A,1
anesthetics,N/A,phenothiazines,N/A,0
anesthetics,N/A,tricyclic antidepressants,N/A,1
anesthetics,N/A,alcohol,N/A,0
anesthetics,N/A,dilaudid,N/A,1
phenothiazines,N/A,tranquilizers,N/A,0
phenothiazines,N/A,sedative-hypnotics,N/A,0
phenothiazines,N/A,cns depressants,N/A,0
phenothiazines,N/A,alcohol,N/A,0
phenothiazines,N/A,dilaudid,N/A,1
tranquilizers,N/A,tricyclic antidepressants,N/A,0
tranquilizers,N/A,alcohol,N/A,0
tranquilizers,N/A,dilaudid,N/A,1
sedative-hypnotics,N/A,tricyclic antidepressants,N/A,0
sedative-hypnotics,N/A,alcohol,N/A,0
sedative-hypnotics,N/A,dilaudid,N/A,1
tricyclic antidepressants,N/A,cns depressants,N/A,0
tricyclic antidepressants,N/A,alcohol,N/A,0
tricyclic antidepressants,N/A,dilaudid,N/A,1
cns depressants,N/A,dilaudid,N/A,1
alcohol,N/A,dilaudid,N/A,1
cyclosporine,DB00091,fibric acid derivatives,N/A,0
cyclosporine,DB00091,niacin,DB00627,0
cyclosporine,DB00091,nicotinic acid,N/A,0
cyclosporine,DB00091,erythromycin,DB00199,0
cyclosporine,DB00091,azole antifungals,N/A,0
fibric acid derivatives,N/A,niacin,DB00627,0
fibric acid derivatives,N/A,nicotinic acid,N/A,0
fibric acid derivatives,N/A,erythromycin,DB00199,0
fibric acid derivatives,N/A,azole antifungals,N/A,0
niacin,DB00627,nicotinic acid,N/A,0
niacin,DB00627,erythromycin,DB00199,0
niacin,DB00627,azole antifungals,N/A,0
nicotinic acid,N/A,erythromycin,DB00199,0
nicotinic acid,N/A,azole antifungals,N/A,0
erythromycin,DB00199,azole antifungals,N/A,0
antacid,N/A,atorvastatin,DB01076,0
antacid,N/A,maalox tc,N/A,0
atorvastatin,DB01076,maalox tc,N/A,1
maalox tc,N/A,atorvastatin,DB01076,0
antipyrine,DB01435,atorvastatin,DB01076,0
antipyrine,DB01435,antipyrine,DB01435,0
antipyrine,DB01435,drugs,N/A,0
