Drug1,Drug2,Interaction
fexofenadine hydrochloride,aluminum,1
fexofenadine hydrochloride,magnesium,1
fexofenadine hydrochloride,antacid,1
fexofenadine hydrochloride,Maalox,1
aluminum,antacid,0
aluminum,Maalox,0
aluminum,fexofenadine,0
magnesium,antacid,0
magnesium,Maalox,0
magnesium,fexofenadine,0
antacid,Maalox,0
antacid,fexofenadine,0
Maalox,fexofenadine,0
ALLEGRA,aluminum,1
ALLEGRA,magnesium,1
ALLEGRA,antacids,0
fexofenadine,ALLEGRA,0
narcotic analgesic,phenothiazines,0
narcotic analgesic,tricyclic antidepressants,0
narcotic analgesic,DILAUDID,1
anesthetics,phenothiazines,0
anesthetics,tricyclic antidepressants,1
anesthetics,alcohol,0
anesthetics,DILAUDID,1
phenothiazines,tranquilizers,0
phenothiazines,sedative-hypnotics,0
phenothiazines,CNS depressants,0
phenothiazines,alcohol,0
phenothiazines,DILAUDID,1
tranquilizers,tricyclic antidepressants,0
tranquilizers,alcohol,0
tranquilizers,DILAUDID,1
sedative-hypnotics,tricyclic antidepressants,0
sedative-hypnotics,alcohol,0
sedative-hypnotics,DILAUDID,1
tricyclic antidepressants,CNS depressants,0
tricyclic antidepressants,alcohol,0
tricyclic antidepressants,DILAUDID,1
CNS depressants,DILAUDID,1
alcohol,DILAUDID,1
cyclosporine,fibric acid derivatives,0
cyclosporine,niacin,0
cyclosporine,nicotinic acid,0
cyclosporine,erythromycin,0
cyclosporine,azole antifungals,0
fibric acid derivatives,niacin,0
fibric acid derivatives,nicotinic acid,0
fibric acid derivatives,erythromycin,0
fibric acid derivatives,azole antifungals,0
niacin,nicotinic acid,0
niacin,erythromycin,0
niacin,azole antifungals,0
nicotinic acid,erythromycin,0
nicotinic acid,azole antifungals,0
erythromycin,azole antifungals,0
Antacid,atorvastatin,0
Antacid,Maalox TC,0
atorvastatin,Maalox TC,1
Maalox TC,atorvastatin,0
Antipyrine,atorvastatin,0
Antipyrine,antipyrine,0
Antipyrine,drugs,0
atorvastatin,antipyrine,0
atorvastatin,drugs,0
antipyrine,drugs,0
Colestipol,atorvastatin,0
Colestipol,colestipol,0
atorvastatin,colestipol,1
colestipol,atorvastatin,1
Cimetidine,Atorvastatin,0
Atorvastatin,cimetidine,0
Digoxin,atorvastatin,0
atorvastatin,digoxin,0
Erythromycin,atorvastatin,0
Erythromycin,erythromycin,0
atorvastatin,erythromycin,1
Contraceptives,atorvastatin,0
Contraceptives,contraceptive,0
atorvastatin,contraceptive,1
atorvastatin,norethindrone,1
atorvastatin,ethinyl estradiol,1
contraceptive,norethindrone,0
contraceptive,ethinyl estradiol,0
contraceptive,atorvastatin,1
Warfarin,Atorvastatin,0
Atorvastatin,warfarin,0
HMG-CoA reductase inhibitor,ketoconazole,1
HMG-CoA reductase inhibitor,spironolactone,1
HMG-CoA reductase inhibitor,cimetidine,1
ketoconazole,spironolactone,0
spironolactone,cimetidine,0
glimepiride,aspirin,1
glimepiride,salicylate,1
glimepiride,magnesium/choline salicylate,1
glimepiride,Trilisate,1
glimepiride,salsalate,1
glimepiride,Disalcid,1
glimepiride,choline salicylate,1
glimepiride,Arthropan,1
glimepiride,magnesium salicylate,1
glimepiride,Magan,1
glimepiride,bismuth subsalicylate,1
glimepiride,Pepto-Bismol,1
aspirin,salicylate,0
aspirin,magnesium/choline salicylate,0
aspirin,Trilisate,0
aspirin,salsalate,0
aspirin,Disalcid,0
aspirin,choline salicylate,0
aspirin,Arthropan,0
aspirin,magnesium salicylate,0
aspirin,Magan,0
aspirin,bismuth subsalicylate,0
aspirin,Pepto-Bismol,0
salicylate,magnesium/choline salicylate,0
salicylate,Trilisate,0
salicylate,salsalate,0
salicylate,Disalcid,0
salicylate,choline salicylate,0
salicylate,Arthropan,0
salicylate,magnesium salicylate,0
salicylate,Magan,0
salicylate,bismuth subsalicylate,0
salicylate,Pepto-Bismol,0
magnesium/choline salicylate,Trilisate,0
magnesium/choline salicylate,salsalate,0
magnesium/choline salicylate,Disalcid,0
magnesium/choline salicylate,choline salicylate,0
magnesium/choline salicylate,Arthropan,0
magnesium/choline salicylate,magnesium salicylate,0
magnesium/choline salicylate,Magan,0
magnesium/choline salicylate,bismuth subsalicylate,0
magnesium/choline salicylate,Pepto-Bismol,0
Trilisate,salsalate,0
Trilisate,Disalcid,0
Trilisate,choline salicylate,0
Trilisate,Arthropan,0
Trilisate,magnesium salicylate,0
Trilisate,Magan,0
Trilisate,bismuth subsalicylate,0
Trilisate,Pepto-Bismol,0
salsalate,Disalcid,0
salsalate,choline salicylate,0
salsalate,Arthropan,0
salsalate,magnesium salicylate,0
salsalate,Magan,0
salsalate,bismuth subsalicylate,0
salsalate,Pepto-Bismol,0
Disalcid,choline salicylate,0
Disalcid,Arthropan,0
Disalcid,magnesium salicylate,0
Disalcid,Magan,0
Disalcid,bismuth subsalicylate,0
Disalcid,Pepto-Bismol,0
choline salicylate,Arthropan,0
choline salicylate,magnesium salicylate,0
choline salicylate,Magan,0
choline salicylate,bismuth subsalicylate,0
choline salicylate,Pepto-Bismol,0
Arthropan,magnesium salicylate,0
Arthropan,Magan,0
Arthropan,bismuth subsalicylate,0
Arthropan,Pepto-Bismol,0
magnesium salicylate,Magan,0
magnesium salicylate,bismuth subsalicylate,0
magnesium salicylate,Pepto-Bismol,0
Magan,bismuth subsalicylate,0
Magan,Pepto-Bismol,0
bismuth subsalicylate,Pepto-Bismol,0
nonsteroidal anti-inflammatory drug,NSAID,0
nonsteroidal anti-inflammatory drug,ibuprofen,0
nonsteroidal anti-inflammatory drug,Motrin,0
nonsteroidal anti-inflammatory drug,Advil,0
nonsteroidal anti-inflammatory drug,Nuprin,0
nonsteroidal anti-inflammatory drug,ketoprofen,0
nonsteroidal anti-inflammatory drug,Orudis,0
nonsteroidal anti-inflammatory drug,Orudis KT,0
nonsteroidal anti-inflammatory drug,Oruvail,0
nonsteroidal anti-inflammatory drug,diclofenac,0
nonsteroidal anti-inflammatory drug,Voltaren,0
nonsteroidal anti-inflammatory drug,Cataflam,0
nonsteroidal anti-inflammatory drug,etodolac,0
nonsteroidal anti-inflammatory drug,Lodine,0
nonsteroidal anti-inflammatory drug,indomethacin,0
nonsteroidal anti-inflammatory drug,Indocin,0
nonsteroidal anti-inflammatory drug,nabumetone,0
nonsteroidal anti-inflammatory drug,Relafen,0
nonsteroidal anti-inflammatory drug,oxaprozin,0
nonsteroidal anti-inflammatory drug,Daypro,0
nonsteroidal anti-inflammatory drug,naproxen,0
nonsteroidal anti-inflammatory drug,Anaprox,0
nonsteroidal anti-inflammatory drug,Naprosyn,0
nonsteroidal anti-inflammatory drug,Aleve,0
NSAID,ibuprofen,0
NSAID,Motrin,0
NSAID,Advil,0
NSAID,Nuprin,0
NSAID,ketoprofen,0
NSAID,Orudis,0
NSAID,Orudis KT,0
NSAID,Oruvail,0
NSAID,diclofenac,0
NSAID,Voltaren,0
NSAID,Cataflam,0
NSAID,etodolac,0
NSAID,Lodine,0
NSAID,indomethacin,0
NSAID,Indocin,0
NSAID,nabumetone,0
NSAID,Relafen,0
NSAID,oxaprozin,0
NSAID,Daypro,0
NSAID,naproxen,0
NSAID,Anaprox,0
NSAID,Naprosyn,0
NSAID,Aleve,0
ibuprofen,Motrin,0
ibuprofen,Advil,0
ibuprofen,Nuprin,0
ibuprofen,ketoprofen,0
ibuprofen,Orudis,0
ibuprofen,Orudis KT,0
ibuprofen,Oruvail,0
ibuprofen,diclofenac,0
ibuprofen,Voltaren,0
ibuprofen,Cataflam,0
ibuprofen,etodolac,0
ibuprofen,Lodine,0
ibuprofen,Indocin,0
ibuprofen,nabumetone,0
ibuprofen,Relafen,0
ibuprofen,oxaprozin,0
ibuprofen,Daypro,0
ibuprofen,naproxen,0
ibuprofen,Anaprox,0
ibuprofen,Naprosyn,0
ibuprofen,Aleve,0
Motrin,Advil,0
Motrin,Nuprin,0
Motrin,ketoprofen,0
Motrin,Orudis,0
Motrin,Orudis KT,0
Motrin,Oruvail,0
Motrin,diclofenac,0
Motrin,Voltaren,0
Motrin,Cataflam,0
Motrin,etodolac,0
Motrin,Lodine,0
Motrin,indomethacin,0
Motrin,Indocin,0
Motrin,nabumetone,0
Motrin,Relafen,0
Motrin,oxaprozin,0
Motrin,Daypro,0
Motrin,naproxen,0
Motrin,Anaprox,0
Motrin,Naprosyn,0
Motrin,Aleve,0
Advil,Nuprin,0
Advil,ketoprofen,0
Advil,Orudis,0
Advil,Orudis KT,0
Advil,Oruvail,0
Advil,diclofenac,0
Advil,Voltaren,0
Advil,Cataflam,0
Advil,etodolac,0
Advil,Lodine,0
Advil,indomethacin,0
Advil,Indocin,0
Advil,nabumetone,0
Advil,Relafen,0
Advil,oxaprozin,0
Advil,Daypro,0
Advil,naproxen,0
Advil,Anaprox,0
Advil,Naprosyn,0
Advil,Aleve,0
Nuprin,ketoprofen,0
Nuprin,Orudis,0
Nuprin,Orudis KT,0
Nuprin,Oruvail,0
Nuprin,diclofenac,0
Nuprin,Voltaren,0
Nuprin,Cataflam,0
Nuprin,etodolac,0
Nuprin,Lodine,0
Nuprin,indomethacin,0
Nuprin,Indocin,0
Nuprin,nabumetone,0
Nuprin,Relafen,0
Nuprin,oxaprozin,0
Nuprin,Daypro,0
Nuprin,naproxen,0
Nuprin,Anaprox,0
Nuprin,Naprosyn,0
Nuprin,Aleve,0
ketoprofen,Orudis,0
ketoprofen,Orudis KT,0
ketoprofen,Oruvail,0
ketoprofen,diclofenac,0
ketoprofen,Voltaren,0
ketoprofen,Cataflam,0
ketoprofen,etodolac,0
ketoprofen,Lodine,0
ketoprofen,indomethacin,0
ketoprofen,Indocin,0
ketoprofen,nabumetone,0
ketoprofen,Relafen,0
ketoprofen,oxaprozin,0
ketoprofen,Daypro,0
ketoprofen,naproxen,0
ketoprofen,Anaprox,0
ketoprofen,Naprosyn,0
ketoprofen,Aleve,0
Orudis,Orudis KT,0
Orudis,Oruvail,0
Orudis,diclofenac,0
Orudis,Voltaren,0
Orudis,Cataflam,0
Orudis,etodolac,0
Orudis,Lodine,0
Orudis,indomethacin,0
Orudis,Indocin,0
Orudis,nabumetone,0
Orudis,Relafen,0
Orudis,oxaprozin,0
Orudis,Daypro,0
Orudis,naproxen,0
Orudis,Anaprox,0
Orudis,Naprosyn,0
Orudis,Aleve,0
Orudis KT,Oruvail,0
Orudis KT,diclofenac,0
Orudis KT,Voltaren,0
Orudis KT,Cataflam,0
Orudis KT,etodolac,0
Orudis KT,Lodine,0
Orudis KT,indomethacin,0
Orudis KT,Indocin,0
Orudis KT,nabumetone,0
Orudis KT,Relafen,0
Orudis KT,oxaprozin,0
Orudis KT,Daypro,0
Orudis KT,naproxen,0
Orudis KT,Anaprox,0
Orudis KT,Naprosyn,0
Orudis KT,Aleve,0
Oruvail,diclofenac,0
Oruvail,Voltaren,0
Oruvail,Cataflam,0
Oruvail,etodolac,0
Oruvail,Lodine,0
Oruvail,indomethacin,0
Oruvail,Indocin,0
Oruvail,nabumetone,0
Oruvail,Relafen,0
Oruvail,oxaprozin,0
Oruvail,Daypro,0
Oruvail,naproxen,0
Oruvail,Anaprox,0
Oruvail,Naprosyn,0
Oruvail,Aleve,0
diclofenac,Voltaren,0
diclofenac,Cataflam,0
diclofenac,etodolac,0
diclofenac,Lodine,0
diclofenac,indomethacin,0
diclofenac,Indocin,0
diclofenac,nabumetone,0
diclofenac,Relafen,0
diclofenac,oxaprozin,0
diclofenac,Daypro,0
diclofenac,naproxen,0
diclofenac,Anaprox,0
diclofenac,Naprosyn,0
diclofenac,Aleve,0
Voltaren,Cataflam,0
Voltaren,etodolac,0
Voltaren,Lodine,0
Voltaren,indomethacin,0
Voltaren,Indocin,0
Voltaren,nabumetone,0
Voltaren,Relafen,0
Voltaren,oxaprozin,0
Voltaren,Daypro,0
Voltaren,naproxen,0
Voltaren,Anaprox,0
Voltaren,Naprosyn,0
Voltaren,Aleve,0
Cataflam,etodolac,0
Cataflam,Lodine,0
Cataflam,indomethacin,0
Cataflam,Indocin,0
Cataflam,nabumetone,0
Cataflam,Relafen,0
Cataflam,oxaprozin,0
Cataflam,Daypro,0
Cataflam,naproxen,0
Cataflam,Anaprox,0
Cataflam,Naprosyn,0
Cataflam,Aleve,0
etodolac,Lodine,0
etodolac,indomethacin,0
etodolac,Indocin,0
etodolac,nabumetone,0
etodolac,Relafen,0
etodolac,oxaprozin,0
etodolac,Daypro,0
etodolac,naproxen,0
etodolac,Anaprox,0
etodolac,Naprosyn,0
etodolac,Aleve,0
Lodine,indomethacin,0
Lodine,Indocin,0
Lodine,nabumetone,0
Lodine,Relafen,0
Lodine,oxaprozin,0
Lodine,Daypro,0
Lodine,naproxen,0
Lodine,Anaprox,0
Lodine,Naprosyn,0
Lodine,Aleve,0
indomethacin,Indocin,0
indomethacin,nabumetone,0
indomethacin,Relafen,0
indomethacin,oxaprozin,0
indomethacin,Daypro,0
indomethacin,naproxen,0
indomethacin,Anaprox,0
indomethacin,Naprosyn,0
indomethacin,Aleve,0
Indocin,nabumetone,0
Indocin,Relafen,0
Indocin,oxaprozin,0
Indocin,Daypro,0
Indocin,naproxen,0
Indocin,Anaprox,0
Indocin,Naprosyn,0
Indocin,Aleve,0
nabumetone,Relafen,0
nabumetone,oxaprozin,0
nabumetone,Daypro,0
nabumetone,naproxen,0
nabumetone,Anaprox,0
nabumetone,Naprosyn,0
nabumetone,Aleve,0
Relafen,oxaprozin,0
Relafen,Daypro,0
Relafen,naproxen,0
Relafen,Anaprox,0
Relafen,Naprosyn,0
Relafen,Aleve,0
oxaprozin,Daypro,0
oxaprozin,naproxen,0
oxaprozin,Anaprox,0
oxaprozin,Naprosyn,0
oxaprozin,Aleve,0
Daypro,naproxen,0
Daypro,Anaprox,0
Daypro,Naprosyn,0
Daypro,Aleve,0
naproxen,Anaprox,0
naproxen,Naprosyn,0
naproxen,Aleve,0
Anaprox,Naprosyn,0
Anaprox,Aleve,0
Naprosyn,Aleve,0
sulfamethoxazole,trimethoprim,0
sulfamethoxazole,Bactrim,0
sulfamethoxazole,Septra,0
sulfamethoxazole,sulfisoxazole,0
sulfamethoxazole,Gantrisin,0
sulfamethoxazole,sulfasalazine,0
sulfamethoxazole,Azulfidine,0
trimethoprim,Bactrim,0
trimethoprim,Septra,0
trimethoprim,sulfisoxazole,0
trimethoprim,Gantrisin,0
trimethoprim,sulfasalazine,0
trimethoprim,Azulfidine,0
Bactrim,Septra,0
Bactrim,sulfisoxazole,0
Bactrim,Gantrisin,0
Bactrim,sulfasalazine,0
Bactrim,Azulfidine,0
Septra,sulfisoxazole,0
Septra,Gantrisin,0
Septra,sulfasalazine,0
Septra,Azulfidine,0
sulfisoxazole,Gantrisin,0
sulfisoxazole,sulfasalazine,0
sulfisoxazole,Azulfidine,0
Gantrisin,sulfasalazine,0
Gantrisin,Azulfidine,0
sulfasalazine,Azulfidine,0
monoamine oxidase inhibitor,MAOI,0
monoamine oxidase inhibitor,isocarboxazid,0
monoamine oxidase inhibitor,Marplan,0
monoamine oxidase inhibitor,tranylcypromine,0
monoamine oxidase inhibitor,Parnate,0
monoamine oxidase inhibitor,phenelzine,0
monoamine oxidase inhibitor,Nardil,0
MAOI,isocarboxazid,0
MAOI,Marplan,0
MAOI,tranylcypromine,0
MAOI,Parnate,0
MAOI,phenelzine,0
MAOI,Nardil,0
isocarboxazid,Marplan,0
isocarboxazid,tranylcypromine,0
isocarboxazid,Parnate,0
isocarboxazid,phenelzine,0
isocarboxazid,Nardil,0
Marplan,tranylcypromine,0
Marplan,Parnate,0
Marplan,phenelzine,0
Marplan,Nardil,0
tranylcypromine,Parnate,0
tranylcypromine,phenelzine,0
tranylcypromine,Nardil,0
Parnate,phenelzine,0
Parnate,Nardil,0
phenelzine,Nardil,0
beta-blocker,propranolol,0
beta-blocker,Inderal,0
beta-blocker,atenolol,0
beta-blocker,Tenormin,0
beta-blocker,acebutolol,0
beta-blocker,Sectral,0
beta-blocker,metoprolol,0
beta-blocker,Lopressor,0
propranolol,Inderal,0
propranolol,atenolol,0
propranolol,Tenormin,0
propranolol,acebutolol,0
propranolol,Sectral,0
propranolol,metoprolol,0
propranolol,Lopressor,0
Inderal,atenolol,0
Inderal,Tenormin,0
Inderal,acebutolol,0
Inderal,Sectral,0
Inderal,metoprolol,0
Inderal,Lopressor,0
atenolol,Tenormin,0
atenolol,acebutolol,0
atenolol,Sectral,0
atenolol,metoprolol,0
atenolol,Lopressor,0
Tenormin,acebutolol,0
Tenormin,Sectral,0
Tenormin,metoprolol,0
Tenormin,Lopressor,0
acebutolol,Sectral,0
acebutolol,metoprolol,0
acebutolol,Lopressor,0
Sectral,metoprolol,0
Sectral,Lopressor,0
metoprolol,Lopressor,0
diuretic,hydrochlorothiazide,0
diuretic,HCTZ,0
diuretic,Hydrodiuril,0
diuretic,chlorothiazide,0
diuretic,Diuril,0
hydrochlorothiazide,HCTZ,0
hydrochlorothiazide,Hydrodiuril,0
hydrochlorothiazide,chlorothiazide,0
hydrochlorothiazide,Diuril,0
HCTZ,Hydrodiuril,0
HCTZ,chlorothiazide,0
HCTZ,Diuril,0
Hydrodiuril,chlorothiazide,0
Hydrodiuril,Diuril,0
chlorothiazide,Diuril,0
steroid medicine,prednisone,0
steroid medicine,Deltasone,0
steroid medicine,Orasone,0
steroid medicine,methylprednisolone,0
steroid medicine,Medrol,0
steroid medicine,prednisolone,0
steroid medicine,Prelone,0
steroid medicine,Pediapred,0
prednisone,Deltasone,0
prednisone,Orasone,0
prednisone,methylprednisolone,0
prednisone,Medrol,0
prednisone,prednisolone,0
prednisone,Prelone,0
prednisone,Pediapred,0
Deltasone,Orasone,0
Deltasone,methylprednisolone,0
Deltasone,Medrol,0
Deltasone,prednisolone,0
Deltasone,Prelone,0
Deltasone,Pediapred,0
Orasone,methylprednisolone,0
Orasone,Medrol,0
Orasone,prednisolone,0
Orasone,Prelone,0
Orasone,Pediapred,0
methylprednisolone,Medrol,0
methylprednisolone,prednisolone,0
methylprednisolone,Prelone,0
methylprednisolone,Pediapred,0
Medrol,prednisolone,0
Medrol,Prelone,0
Medrol,Pediapred,0
prednisolone,Pediapred,0
Prelone,Pediapred,0
phenothiazine,chlorpromazine,0
phenothiazine,Thorazine,0
phenothiazine,fluphenazine,0
phenothiazine,Prolixin,0
phenothiazine,Permitil,0
phenothiazine,prochlorperazine,0
phenothiazine,Compazine,0
phenothiazine,promethazine,0
phenothiazine,Phenergan,0
chlorpromazine,Permitil,0
Thorazine,Permitil,0
fluphenazine,Permitil,0
Prolixin,Permitil,0
Permitil,prochlorperazine,0
Permitil,Compazine,0
Permitil,promethazine,0
Permitil,Phenergan,0
phenytoin,Dilantin,0
rifampin,Rifadin,0
rifampin,Rifamate,0
Rifadin,Rifamate,0
HEMABATE,oxytocic agents,1
Furosemide,aminoglycoside antibiotics,1
Furosemide,ethacrynic acid,1
salicylates,furosemide,1
salicylates,salicylate,0
furosemide,salicylate,0
Furosemide,tubocurarine,1
Furosemide,succinylcholine,1
Lithium,diuretics,1
diuretics,lithium,0
Furosemide,antihypertensive drugs,1
ganglionic adrenergic blocking drugs,peripheral adrenergic blocking drugs,0
Furosemide,norepinephrine,1
sucralfate,furosemide,0
furosemide,sucralfate,1
furosemide,NSAIDs,1
indomethacin,furosemide,0
Warfarin,Meclofenamate sodium,1
Meclofenamate sodium,warfarin,0
meclofenamate sodium,warfarin,0
Aspirin,meclofenamate sodium,0
aspirin,meclofenamate sodium,0
meclofenamate sodium,aspirin,0
meclofenamate sodium,meclofenamate sodium,0
Meclofenamate sodium,salicylate,0
Propoxyphene,propoxyphene hydrochloride,0
Propoxyphene,meclofenamate sodium,0
propoxyphene hydrochloride,meclofenamate sodium,0
Antacids,meclofenamate sodium,0
aluminum hydroxide,meclofenamate sodium,0
magnesium hydroxide,meclofenamate sodium,0
Bacteriostatic Antibiotics,Chloramphenicol,0
Bacteriostatic Antibiotics,erythromycins,0
Bacteriostatic Antibiotics,sulfonamides,0
Bacteriostatic Antibiotics,tetracyclines,0
Bacteriostatic Antibiotics,penicillins,0
Chloramphenicol,erythromycins,0
Chloramphenicol,sulfonamides,0
Chloramphenicol,tetracyclines,0
Chloramphenicol,penicillins,1
erythromycins,sulfonamides,0
erythromycins,tetracyclines,0
erythromycins,penicillins,1
sulfonamides,penicillins,1
tetracyclines,penicillins,1
Probenecid,ampicillin,0
ampicillin,copper sulfate,0
Nitrates,Bepridil,0
Nitrates,nitrates,0
Bepridil,nitrates,0
nitroglycerin,Bepridil,0
Beta-blocking Agents,Bepridil,0
Beta-blocking Agents,beta-blocking agents,0
Bepridil,beta-blocking agents,0
Digoxin,bepridil hydrochloride,0
bepridil hydrochloride,digoxin,0
Hypoglycemics,Bepridil,0
Hypoglycemics,insulin,0
Hypoglycemics,hypoglycemic agents,0
Bepridil,insulin,0
Bepridil,hypoglycemic agents,0
insulin,hypoglycemic agents,0
bepridil hydrochloride,anti-arrhythmic agents,0
bepridil hydrochloride,quinidine,0
bepridil hydrochloride,procainamide,0
bepridil hydrochloride,cardiac glycosides,0
bepridil hydrochloride,tricyclic anti-depressants,0
anti-arrhythmic agents,quinidine,0
anti-arrhythmic agents,procainamide,0
anti-arrhythmic agents,cardiac glycosides,0
anti-arrhythmic agents,tricyclic anti-depressants,0
quinidine,cardiac glycosides,0
quinidine,tricyclic anti-depressants,0
procainamide,cardiac glycosides,0
procainamide,tricyclic anti-depressants,0
cardiac glycosides,tricyclic anti-depressants,0
Anti-arrhythmics,tricyclic anti-depressants,0
Anti-arrhythmics,bepridil hydrochloride,1
tricyclic anti-depressants,bepridil hydrochloride,1
Cardiac glycosides,bepridil hydrochloride,1
Tetracycline,bacteriostatic antibiotic,0
Tetracycline,penicillin,1
bacteriostatic antibiotic,penicillin,0
ACE inhibitors,disopyramide,0
ACE inhibitors,fibrates,0
ACE inhibitors,fluoxetine,0
ACE inhibitors,MAO inhibitors,0
ACE inhibitors,propoxyphene,0
ACE inhibitors,salicylates,0
ACE inhibitors,somatostatin analog,0
ACE inhibitors,octreotide,0
ACE inhibitors,sulfonamide antibiotics,0
disopyramide,fibrates,0
disopyramide,fluoxetine,0
disopyramide,MAO inhibitors,0
disopyramide,propoxyphene,0
disopyramide,salicylates,0
disopyramide,somatostatin analog,0
disopyramide,octreotide,0
disopyramide,sulfonamide antibiotics,0
fibrates,fluoxetine,0
fibrates,MAO inhibitors,0
fibrates,propoxyphene,0
fibrates,salicylates,0
fibrates,somatostatin analog,0
fibrates,octreotide,0
fibrates,sulfonamide antibiotics,0
fluoxetine,MAO inhibitors,0
fluoxetine,propoxyphene,0
fluoxetine,salicylates,0
fluoxetine,somatostatin analog,0
fluoxetine,octreotide,0
fluoxetine,sulfonamide antibiotics,0
MAO inhibitors,propoxyphene,0
MAO inhibitors,salicylates,0
MAO inhibitors,somatostatin analog,0
MAO inhibitors,octreotide,0
MAO inhibitors,sulfonamide antibiotics,0
propoxyphene,salicylates,0
propoxyphene,somatostatin analog,0
propoxyphene,octreotide,0
propoxyphene,sulfonamide antibiotics,0
salicylates,somatostatin analog,0
salicylates,octreotide,0
salicylates,sulfonamide antibiotics,0
somatostatin analog,octreotide,0
somatostatin analog,sulfonamide antibiotics,0
octreotide,sulfonamide antibiotics,0
insulin,corticosteroids,0
insulin,danazol,0
insulin,diuretics,0
insulin,sympathomimetic agents,0
insulin,epinephrine,0
insulin,albuterol,0
insulin,terbutaline,0
insulin,isoniazid,0
insulin,phenothiazine derivatives,0
insulin,somatropin,0
insulin,thyroid hormones,0
insulin,estrogens,0
insulin,progestogens,0
insulin,contraceptives,0
corticosteroids,danazol,0
corticosteroids,sympathomimetic agents,0
corticosteroids,epinephrine,0
corticosteroids,albuterol,0
corticosteroids,terbutaline,0
corticosteroids,isoniazid,0
corticosteroids,phenothiazine derivatives,0
corticosteroids,somatropin,0
corticosteroids,thyroid hormones,0
corticosteroids,estrogens,0
corticosteroids,progestogens,0
corticosteroids,contraceptives,0
danazol,diuretics,0
danazol,sympathomimetic agents,0
danazol,epinephrine,0
danazol,albuterol,0
danazol,terbutaline,0
danazol,isoniazid,0
danazol,phenothiazine derivatives,0
danazol,somatropin,0
danazol,thyroid hormones,0
danazol,estrogens,0
danazol,progestogens,0
danazol,contraceptives,0
diuretics,sympathomimetic agents,0
diuretics,epinephrine,0
diuretics,albuterol,0
diuretics,terbutaline,0
diuretics,isoniazid,0
diuretics,phenothiazine derivatives,0
diuretics,somatropin,0
diuretics,thyroid hormones,0
diuretics,estrogens,0
diuretics,progestogens,0
diuretics,contraceptives,0
sympathomimetic agents,epinephrine,0
sympathomimetic agents,albuterol,0
sympathomimetic agents,terbutaline,0
sympathomimetic agents,isoniazid,0
sympathomimetic agents,phenothiazine derivatives,0
sympathomimetic agents,somatropin,0
sympathomimetic agents,thyroid hormones,0
sympathomimetic agents,estrogens,0
sympathomimetic agents,progestogens,0
sympathomimetic agents,contraceptives,0
epinephrine,albuterol,0
epinephrine,terbutaline,0
epinephrine,isoniazid,0
epinephrine,phenothiazine derivatives,0
epinephrine,somatropin,0
epinephrine,thyroid hormones,0
epinephrine,estrogens,0
epinephrine,progestogens,0
epinephrine,contraceptives,0
albuterol,terbutaline,0
albuterol,isoniazid,0
albuterol,phenothiazine derivatives,0
albuterol,somatropin,0
albuterol,thyroid hormones,0
albuterol,estrogens,0
albuterol,progestogens,0
albuterol,contraceptives,0
terbutaline,isoniazid,0
terbutaline,phenothiazine derivatives,0
terbutaline,somatropin,0
terbutaline,thyroid hormones,0
terbutaline,estrogens,0
terbutaline,progestogens,0
terbutaline,contraceptives,0
isoniazid,phenothiazine derivatives,0
isoniazid,somatropin,0
isoniazid,thyroid hormones,0
isoniazid,estrogens,0
isoniazid,progestogens,0
isoniazid,contraceptives,0
phenothiazine derivatives,somatropin,0
phenothiazine derivatives,thyroid hormones,0
phenothiazine derivatives,estrogens,0
phenothiazine derivatives,progestogens,0
phenothiazine derivatives,contraceptives,0
somatropin,thyroid hormones,0
somatropin,estrogens,0
somatropin,progestogens,0
somatropin,contraceptives,0
thyroid hormones,estrogens,0
thyroid hormones,progestogens,0
thyroid hormones,contraceptives,0
estrogens,progestogens,0
estrogens,contraceptives,0
progestogens,contraceptives,0
Beta-blockers,clonidine,0
Beta-blockers,lithium,0
Beta-blockers,alcohol,0
Beta-blockers,insulin,1
clonidine,lithium,0
clonidine,insulin,1
lithium,alcohol,0
lithium,insulin,1
alcohol,insulin,1
beta-blockers,clonidine,0
beta-blockers,guanethidine,0
beta-blockers,reserpine,0
clonidine,guanethidine,0
clonidine,reserpine,0
LODOSYN,Carbidopa,0
LODOSYN,levodopa,0
LODOSYN,carbidopa,0
Carbidopa,levodopa,0
Carbidopa,carbidopa,0
levodopa,carbidopa,0
levodopa,levodopa,0
carbidopa,levodopa,0
Dopamine D2 receptor antagonists,phenothiazines,0
Dopamine D2 receptor antagonists,butyrophenones,0
Dopamine D2 receptor antagonists,risperidone,0
Dopamine D2 receptor antagonists,isoniazid,0
Dopamine D2 receptor antagonists,levodopa,1
phenothiazines,risperidone,0
phenothiazines,isoniazid,0
butyrophenones,risperidone,0
butyrophenones,isoniazid,0
butyrophenones,levodopa,1
risperidone,isoniazid,0
risperidone,levodopa,1
isoniazid,levodopa,1
levodopa,phenytoin,0
levodopa,papaverine,1
phenytoin,papaverine,0
Iron,carbidopa,1
Iron,levodopa,1
metoclopramide,levodopa,1
metoclopramide,metoclopramide,0
levodopa,metoclopramide,0
hydroxyurea,uricosuric medication,1
probenecid,penciclovir,1
6-deoxy penciclovir,penciclovir,0
aminoglycoside antibiotics,cephalosporin antibiotics,1
probenecid,cefprozil,1
cefprozil,antacid,0
ALFENTA,CNS depressants,1
ALFENTA,barbiturates,1
ALFENTA,tranquilizers,1
